insurance,good,geico,air,diesels
space,bill,long,program,such
temperature,large,speed,quite,things
mustang,edu,rear,don,ford
edu,article,writes,apr,nasa
edu,writes,article,use,engines
station,option,shuttle,launch,redesign
moon,time,small,fact,body
earth,system,mars,mission,planets
edu,writes,article,two,oort
edu,nasa,gif,space,uci
engine,clutch,shifter,driving,manual
henry,toronto,spencer,writes,zoo
oil,sky,light,lights,time
space,people,world,sci,don
don,internet,information,book,science
car,sho,miles,brake,steering
hst,mission,shuttle,pat,access
car,ford,make,cars,even
george,cost,want,saturn,howell
